State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,235.24,225.54,241.13,188.13,135.09,84.43,66.1,53.29,73.38,117.29,159.92,199.34
Sergipe,38.51,41.3,54.9,91.13,139.72,136.16,120.08,88.33,47.2,33.82,30.29,22.8
Tocantins,269.66,239.35,261.16,148.51,50.98,5.48,1.8,4.01,33.86,108.38,202.7,236.69
Ceara,91.67,121.59,174.24,167.59,86.35,35.09,15.85,5.06,2.1,4.24,8.03,23.26
Distrito Federal,234.35,213.64,240.0,114.55,28.37,6.93,1.95,10.64,34.86,115.43,229.88,260.54
Espirito Santo,161.13,96.62,150.64,91.85,62.12,34.39,34.46,37.41,54.85,103.45,204.72,206.92
Goias,270.02,219.78,231.23,116.89,30.95,10.64,4.7,11.24,43.47,120.39,229.85,275.21
Maranhao,217.36,240.28,290.04,234.33,140.62,53.65,33.17,14.45,17.58,44.14,84.62,114.48
Mato Grosso,306.37,302.62,302.63,153.27,56.21,18.22,5.88,19.1,69.52,162.68,236.0,285.93
Mato Grosso Do Sul,222.7,187.42,148.15,100.3,88.1,48.04,35.89,37.69,73.32,138.72,154.39,202.44
Minas Gerais,227.65,155.72,177.61,67.05,29.44,12.19,8.26,10.05,36.07,87.87,195.56,252.5
Para,281.99,304.43,344.27,308.23,217.06,117.71,83.3,61.84,73.12,102.52,133.77,189.54
Paraiba,66.38,86.61,127.29,109.21,80.8,67.16,42.8,23.56,10.58,8.12,10.73,22.32
Parana,198.79,175.73,130.87,110.47,123.01,112.98,91.39,72.38,132.55,183.96,140.58,165.4
Pernambuco,67.41,77.6,104.95,80.39,70.52,64.67,54.45,33.79,15.98,13.48,24.1,38.25
Piaui,154.84,152.46,179.05,131.79,47.66,9.62,5.12,2.04,6.41,33.23,80.03,94.9
Rio De Janeiro,218.62,145.7,174.11,88.78,64.33,36.81,29.71,30.69,65.06,106.9,186.09,215.56
Rio Grande Do Norte,57.14,81.17,128.71,124.13,83.6,63.83,34.1,14.13,5.74,3.77,4.42,13.53
Rio Grande Do Sul,148.09,138.88,125.17,163.36,150.93,139.89,147.33,113.35,145.59,186.48,121.41,134.33
Rondonia,287.17,287.3,270.25,178.82,82.79,24.69,13.89,29.43,80.96,156.45,207.04,274.05
Acre,295.4,294.97,285.04,191.25,117.3,52.32,45.98,53.17,103.3,191.94,211.76,259.84
Roraima,81.56,91.21,122.79,228.44,377.06,370.21,333.55,248.47,159.5,118.71,122.49,97.85
Alagoas,43.91,47.98,67.32,93.31,154.68,164.35,142.77,107.28,50.96,28.88,23.73,24.26
Santa Catarina,203.74,187.39,138.92,127.03,141.4,129.89,140.12,107.1,154.96,200.03,134.5,153.04
Amapa,273.76,313.1,332.05,371.62,378.21,258.22,189.38,107.43,44.45,34.0,65.36,168.97
Sao Paulo,254.92,211.2,159.6,70.14,54.97,44.76,30.82,25.81,65.1,121.79,137.24,183.53
Amazonas,279.69,270.5,299.48,281.54,232.98,153.87,122.69,98.92,123.48,161.04,196.29,246.05
Bahia,108.21,93.07,113.35,68.86,36.85,31.57,29.64,21.61,21.75,44.03,117.87,105.41
